,Core,Rim,Inv,Neg,Pos
A1CF,0.024393619,0.045062343,0.045353545,0.00935274,1.582884235
A2ML1,1.823440102,1.799280318,2.841611629,1.25699241,0.874754742
A3GALT2,1.04858457,1.018656554,0.940970906,0.441174251,0.550731082
A4GALT,3.011813917,3.589218113,3.323825043,1.821870579,1.92158223
A4GNT,0.591927014,0.558248418,0.476513134,0.155459003,0.319572785
AAAS,6.834640208,6.831884194,6.686152784,4.625043027,4.428174284
AACS,4.710214665,4.798685407,4.996929076,2.82349669,2.280665386
AACSP1,0.206758129,0.19829715,0.33343342,0.744533269,0.53619341
AADACL3,0.032291479,0.006835179,0.004556488,0.007117224,0.175620168
AADACL4,0,0.018770603,0.010097839,0.153752624,0.843234253
AADAT,4.75513904,4.767313932,5.07870458,2.896450395,2.207579339
AAMP,8.135194307,8.158084732,8.237389526,5.772325819,5.095234285
AANAT,1.620258161,1.857247836,2.169657535,1.463374968,2.125374882
AAR2,6.12057409,6.118154409,5.980965368,4.057610592,4.755770708
AARD,0.398293152,0.526190245,0.860051334,0.239739493,0.67180903
AARS1,8.21785644,8.194468333,8.260395199,5.51952345,4.681037133
AASDH,4.212649991,4.048016829,4.244929168,2.244279006,2.54949606
AASS,6.387680253,6.182053952,6.413594637,3.599512171,3.841250735
AATBC,1.323137413,1.230283344,1.366917476,0.453413339,0.635020922
ABAT,7.789527277,7.88073738,8.423834934,5.075003183,3.621316563
ABCA12,0.467284282,0.527473728,0.527502113,0.620084214,0.129843081
ABCA13,1.934061141,1.561737877,0.563065324,0.659001104,1.419430462
ABCA4,0.573337972,0.768840251,0.450655256,0.264475569,0.522973702
ABCA7,4.029411601,4.160533804,4.151602283,4.326476771,3.572451022
ABCA8,4.656835096,4.612272648,5.063054793,3.209225573,4.010638011
ABCA9,2.069813525,2.129907806,2.652475543,0.881047459,2.088350205
ABCB10,4.757598879,4.658489353,4.849248649,3.933003348,2.497429182
ABCB11,0.18562113,0.113154353,0.11619603,0.426355236,0.005332998
ABCB4,2.434621229,2.74427427,2.192903719,1.566783697,2.064457685
ABCB5,0.077044894,0.089353357,0.034395752,0.265729958,0.825115947
ABCB7,5.770919823,5.642999244,5.382477977,4.170840621,3.482227066
ABCB8,5.543362856,5.597956254,5.769387301,4.173373815,4.318304784
ABCC12,0.321264215,0.443698662,0.697046811,0.119595447,0.267445539
ABCC13,0.156268485,0.214096018,0.270740949,1.211252534,0.430362292
ABCC2,0.924238937,0.903264354,0.853852497,1.111601876,0.601296387
ABCC4,4.040498773,4.141747072,4.164513702,3.727431972,4.090362354
ABCC6P1,0.890138488,1.142361087,0.882972295,0.290030898,0.189286549
ABCC6P2,0.93712247,1.082004362,1.029659113,0.398457167,0.127332352
ABCC8,3.113466568,3.729535646,4.170907803,2.475175061,2.870940832
ABCC9,2.579134282,3.074393251,3.14345531,2.018505573,0.838143268
ABCD1,0.341801495,0.039551825,0.139947456,0.022817016,0.03945193
ABCD2,2.603264057,2.494806104,3.33892178,0.988416728,0.600831101
ABCD3,6.334063726,6.181532101,6.414645795,3.956734099,4.57469062
ABCD4,6.21839812,6.280579658,6.288401588,4.520104669,3.962066434
ABCF2,6.664810657,6.63202685,6.530149808,4.355154524,3.648836958
ABCF3,6.997583097,7.005883224,6.854269964,4.75381139,4.138425505
ABCG1,5.44329315,5.663994462,5.376313426,5.337263794,5.44516024
ABCG2,4.973331064,5.363447007,5.924745671,4.586207267,3.0571203
ABCG4,1.482298119,1.874905164,2.472024065,0.331825114,0.879634941
ABCG5,0.414855557,0.458004422,0.562014686,0.166514372,0.056206911
ABCG8,0.158403649,0.216688501,0.4744743,0.016674448,0.193780024
ABHD10,6.118098474,6.144185468,6.34165773,3.89496017,4.437091353
ABHD11,0.168025734,0.239301637,0.172284052,0.072633998,0.235581347
ABHD11-AS1,0,0,0,0,0
ABHD12B,1.818560851,2.191273963,2.764462883,2.568531591,2.719666113
ABHD13,4.386675254,4.38700456,4.457342208,3.338663662,2.900510861
ABHD15,4.467002584,4.521204766,4.529063934,3.766348403,3.399676177
ABHD17A,7.000083931,7.198594693,7.493370847,6.474364152,6.222958844
ABHD17B,5.519283033,5.562487743,6.095288584,4.616314172,3.33091873
ABHD17C,5.659039562,5.79571482,5.965578303,4.239379443,2.113237401
ABHD2,7.129292548,7.246068361,7.09031425,5.779164577,5.884968865
ABHD4,6.703997298,6.715492795,6.48254517,4.010288506,3.172614419
ABHD5,5.571628324,5.52889802,5.398598268,4.240964443,4.631691873
ABHD6,6.033727173,6.323680104,6.582503031,5.362510256,4.719406797
ABHD8,5.896825463,6.080856221,6.420860151,3.855413402,4.041254096
ABI2,7.148428889,7.069114339,7.517774891,4.632379211,3.885094299
ABI3BP,2.995441407,3.007978917,2.702595203,0.588939832,1.343986009
ABITRAM,6.267234032,6.175347831,6.046009079,4.019442617,2.813515565
ABL1,7.091489054,7.04223381,6.779488638,5.078161833,5.266089899
ABL2,4.647485179,4.584566944,4.463876248,3.060135642,5.737993815
ABLIM1,6.26792214,6.456206106,6.900484003,3.962220764,2.949908778
ABLIM2,2.838447675,3.230494003,4.239183635,2.255003986,2.856286765
ABLIM3,4.802851194,5.065936756,5.118022408,2.62062621,2.698591687
ABO,0.108176336,0.084365983,0.110850962,0.024175214,0.016863001
ABRA,0.106233484,0.146139084,0.265342931,0.139366453,0.103819034
ABRACL,5.932798832,5.999563822,5.512341453,5.211675436,4.43211417
ABRAXAS2,4.983664036,5.040382506,5.022911015,3.131683988,2.937238286
ABT1,0.013585019,0.026390122,0.024917393,0.310578456,0
ABTB1,5.904635811,5.952407874,6.429455641,6.097768763,6.71301812
ABTB2,4.098168574,4.19680385,4.341849206,2.845745916,2.985402866
ACAA2,6.710164087,6.725512754,6.70665047,4.857180937,4.257771522
ACACB,3.705723305,3.69766667,4.336292145,2.426002032,2.991428995
ACAD10,4.820512317,4.784090396,4.737806554,2.754070237,2.555677574
ACAD8,5.837753869,5.839304838,6.027215328,4.066534837,2.880939479
ACADL,2.049325873,2.183117673,2.607093464,1.19017407,0.583467166
ACADM,6.490403607,6.415516306,6.634442244,4.962283172,3.802983416
ACADS,5.356992031,5.364339568,5.290778778,3.626660541,4.466097307
ACADSB,4.554490041,4.565877868,5.145697213,3.681329209,2.752957896
ACAN,2.4335534,2.838612104,1.612587579,1.543890168,1.232748869
ACAP1,3.136014924,3.236474823,2.852445048,4.749596634,3.515211387
ACAP2,5.581901623,5.517846409,5.489724469,4.091772423,3.464126848
ACAT1,6.057433267,6.154906263,6.223847602,4.261173821,3.806639176
ACBD3,6.60148531,6.479153915,6.254792046,3.842781542,3.845080166
ACBD4,4.851559569,4.846169697,4.798234826,2.62125617,2.461369172
ACBD5,6.510653821,6.402377331,6.710386088,5.576341383,3.72957945
ACCSL,0.096686776,0.121890007,0.068108504,0.072653356,0.178444151
ACE2,0.469819774,0.501901563,0.481388681,1.085762965,0.461507263
ACER1,0.134137729,0.154725258,0.13214859,0.078240717,0.286473064
ACER2,2.005277749,2.156519161,2.071393654,0.824674429,1.001432508
ACER3,1.816771056,1.824399496,2.251183471,1.478784868,1.3624939
ACHE,4.917681511,5.218639991,4.797201936,2.533168421,1.887357237
ACKR1,4.03160335,4.552274269,4.311150017,1.740868234,2.405864221
ACKR3,6.333601308,6.513945652,6.121734596,5.078216001,4.063183958
ACLY,0.167290542,0.16550335,0.176617712,0.063556068,0.044702999
ACO1,5.906708231,5.946903491,5.949946536,3.714984569,3.094773864
ACOD1,0.203749787,0.080879293,0.00765463,0.83839079,0.793450211
ACOT4,2.10620627,2.436575712,2.462517575,1.214437195,0.715577884
ACOT6,1.405712121,1.224155636,1.31571161,0.416610508,0.172773904
ACOT7,5.888837986,6.207715671,6.46650929,4.760469565,3.777110131
ACOT9,5.893679961,5.851827224,5.595092706,4.455211014,5.445172727
ACOX1,6.01320131,5.996937427,6.091024358,4.16713506,3.967507434
ACOX2,3.78288635,4.063744998,4.114501537,1.549266282,0.736968228
ACOXL,0.406664334,0.452310893,0.373404523,1.160549527,0.046315175
ACP1,7.072116046,6.960350325,7.069709089,5.643511083,4.169795022
ACP3,1.427959526,1.522594974,1.068888221,1.555648594,1.052416536
ACP4,0.927597626,1.072576083,0.890100174,1.409400692,0.367370326
ACP5,3.68828758,3.817933656,2.735896525,3.940639888,5.472369173
ACP7,1.086912212,1.415878942,1.547545908,0.974219563,1.102351809
ACR,0.627748897,0.683012662,0.87676521,0.151491462,0.213935701
ACSBG1,4.901253628,4.992742284,6.089658563,1.794787501,2.396463624
ACSBG2,1.265939998,1.235403485,1.015363876,0.47308268,0.38734711
ACSF3,4.595223031,4.618052706,4.554830037,3.422122764,3.086851584
ACSL3,6.805210428,6.791535937,7.316514032,5.161246896,4.290576708
ACSL4,5.663381163,5.803125593,5.794156698,4.36208842,4.581352985
ACSL5,3.727191792,4.035686858,4.148543742,3.475221833,3.114731961
ACSM1,0.256309355,0.36640173,0.530658186,0.124250583,0.883496122
ACSM2A,0.007006121,0.013967326,0.007933441,0.312092714,0.110469736
ACSM2B,0.022308792,0.006000155,0,0.618885234,0.467980117
ACSM4,0.570814587,0.531945866,0.466791125,1.216905166,1.280570177
ACSM5,3.810034159,4.051563817,4.133372886,3.455255703,3.121098168
ACSM6,0.06194766,0.074469234,0.068740326,0.257600215,0.98501352
ACSS1,5.823635477,5.760707524,6.674994609,4.392215638,4.327954646
ACSS2,5.38908011,5.424497559,5.807973079,3.861357707,3.578938003
ACTA1,1.459956126,1.371650386,1.447152278,0.662837417,0.859211518
ACTB,13.12109908,13.25323094,12.88670566,12.03649131,12.62071543
ACTC1,1.496335358,1.598885213,1.631431886,0.718626092,0.649343617
ACTE1P,0,0.00676492,0.072179075,0.031334616,1.029311603
ACTG1,2.281193705,2.347871382,2.173989686,1.494116235,1.23640361
ACTG1P17,2.060802827,1.872271291,1.704449301,1.02979707,0.857979908
ACTG1P25,1.172062831,1.096074629,1.318379292,1.461421692,0.448036334
ACTG2,2.136323614,2.971028456,1.4641565,2.251925598,1.400356575
ACTL6A,6.84343847,6.68473859,6.121916018,4.685014968,4.205777767
ACTL6B,2.497950566,2.952227604,4.23110617,2.417879121,2.043212831
ACTL8,0.157664591,0.193055527,0.220475859,0.316740856,0.021635175
ACTN1,7.069194323,7.510062954,6.491394961,4.389817716,4.014317828
ACTN1-AS1,0.499159665,0.642972427,0.225082951,0.12567566,0.153685685
ACTN2,5.770125136,5.879147665,6.201250638,3.88690885,4.804194398
ACTN3,0.37570167,0.382323741,0.383076897,0.225501294,0.789205605
ACTR1A,7.442193018,7.688609324,7.924397148,6.283418452,6.889768418
ACTR1B,7.401514807,7.423497834,7.61496998,5.963600843,5.892041996
ACTR2,8.380316785,8.356650972,8.433893905,6.551386328,7.013459082
ACTR3,7.453569785,7.451284893,7.110066049,5.416200383,6.147676569
ACTR3B,5.010323047,4.959104144,5.295937811,2.737149247,2.143999526
ACTR5,4.658611935,4.558395659,4.590787539,2.941222208,2.397902893
ACTR8,5.52475199,5.466178534,5.484131989,3.060941884,3.66785273
ACTRT3,1.003149426,1.491131096,1.759400635,1.586192241,0.985738935
ACVR1,5.699483224,5.744439989,5.58017383,3.302923654,3.201036684
ACVR1B,5.516474578,5.591149094,5.622584179,2.951627768,3.027902281
ACVR1C,1.19440684,1.287752438,2.362376116,1.390356211,1.769705487
ACVRL1,4.259564231,4.601774591,4.483898076,2.849911358,2.58022356
ACY3,2.153530245,2.422998781,4.129002465,3.151387234,4.25807042
ACYP1,5.692714995,5.831903913,5.838335639,4.593456972,2.9046401
ADA,3.961234627,4.289610504,4.291305073,4.230956605,3.258825322
ADA2,4.712187681,5.048568454,4.930251939,3.731112452,6.093029344
ADAD1,0.013417444,0.007052548,0,0,0
ADAD2,1.413891533,2.008092327,2.266609468,1.118098211,1.035901567
ADAL,4.113958156,4.039528011,4.091151496,2.516706812,2.083337597
ADAM11,3.350846455,3.532248646,4.375404379,1.595878907,1.708229802
ADAM12,3.312263336,3.581860048,2.511140781,1.504586989,1.355836654
ADAM18,0,0,0,0,0.194543546
ADAM2,0,0.004894872,0,0,0
ADAM20,0.35491931,0.451635226,0.335358227,0.130034445,0.048728521
ADAM20P1,1.141617628,1.254296666,0.962603957,0.96875244,0.165343608
ADAM21,0.959562602,0.953090131,1.021343276,0.270790679,0.163572911
ADAM22,4.972415933,5.088407416,5.575955863,3.270781302,2.618169426
ADAM23,5.388766924,5.573102105,5.427928106,3.051211961,1.976855457
ADAM28,4.291065801,4.505073088,4.475689454,4.548078344,5.682285789
ADAM29,0.171472426,0.217536754,0.190579997,0.566654155,0.010295396
ADAM32,1.983529261,2.04260934,1.611453146,2.208575443,0.162857601
ADAM33,4.19483432,4.268181786,4.465145311,2.241855765,2.162632867
ADAM3A,0,0,0,0,0
ADAM5,0.028542027,0.044505839,0.018727024,0.017066404,0.007348288
ADAM6,0,0,0,0,0
ADAM7,0.028414237,0.023468618,0.030928287,0.029990648,0.739952189
ADAM8,4.570689981,4.657054119,3.163390625,4.227093261,3.572531859
ADAM9,7.571500899,7.470246811,6.85147178,5.807797696,4.555146106
ADAMDEC1,2.853963289,3.00883389,1.692808679,2.306276031,2.789122552
ADAMTS1,5.402093599,5.782796626,5.467838607,4.399470078,3.177594617
ADAMTS10,0.476083462,0.394344628,0.416017425,0.217574633,0.169540712
ADAMTS12,1.907968232,2.028223962,1.359679974,1.348975865,0.803730427
ADAMTS14,3.535015314,3.921016959,3.311524443,2.083034118,2.695932912
ADAMTS15,4.22991436,4.172995512,2.958782981,2.188920892,1.863485595
ADAMTS16,0.895244041,1.121852166,0.894370868,0.922193897,1.104037982
ADAMTS17,1.778421203,1.96202385,1.989746679,1.176462271,1.258924
ADAMTS18,1.122490836,1.540337672,1.841964449,0.770127405,0.894872348
ADAMTS19,0.804672778,0.827545889,1.534502722,0.471791456,1.45203815
ADAMTS2,2.670158354,3.157022206,2.062777348,1.445459749,2.097831089
ADAMTS20,0.572396279,0.598615072,0.544211671,0.521373241,0.204272789
ADAMTS3,2.510319529,2.488373995,2.252758925,0.948867059,1.509297184
ADAMTS4,4.80388547,5.979811739,5.687747618,5.223982807,5.534895302
ADAMTS6,3.219148999,2.890543061,2.433990679,1.033202452,2.058844372
ADAMTS7,2.929367238,3.266674015,2.489145257,1.113154476,1.859976567
ADAMTS8,2.708358435,3.295262272,3.62436493,1.483862597,3.130102264
ADAMTSL2,1.995733462,2.436234296,2.834855965,1.874936715,2.230803979
ADAMTSL3,1.089076323,1.442781099,1.84141194,0.698488644,0.77749523
ADAMTSL5,0.972326212,1.138404427,1.01222455,1.871990878,1.247172354
ADAP2,5.456757232,5.608969053,5.034151724,5.146567539,5.28854137
ADAR,7.816558313,7.734574404,7.800794823,5.909188693,5.342584405
ADARB1,3.861556299,4.063109434,4.155211653,2.824054454,2.457794969
ADAT1,4.653411997,4.638269437,4.73944732,4.082670122,2.438962631
ADAT2,3.157646253,3.125268241,2.935865478,2.129404494,1.377259805
ADCK1,3.835445694,4.014666214,4.347710016,2.785723481,3.460691246
ADCY1,3.33336952,3.59596233,4.473279658,2.137581724,1.275615384
ADCY10,0.617884751,0.62357026,0.482094764,0.849860102,0.232206162
ADCY2,5.499580801,5.543361877,6.049668024,2.445788797,1.995325475
ADCY4,2.792365555,3.226202825,3.129263461,2.260970508,1.914164489
ADCY5,4.008513962,4.608833765,5.371308462,3.003661471,3.568529331
ADCY7,5.150603727,5.206361894,5.238222332,4.727080636,4.925706811
ADCY8,4.71454408,4.611509416,4.754564246,1.850887226,1.321286097
ADCY9,4.460220745,4.657172636,4.521938889,3.022685917,2.224011665
ADCYAP1,1.164095307,1.576344469,2.373355872,0.937940828,1.087973865
ADCYAP1R1,6.952129224,7.104547684,7.523225064,3.586661418,2.306557443
ADD1,7.572393272,7.683996585,7.903343339,5.920879141,5.23313263
ADD2,0.002538318,0.002479586,0,0.002450264,0
ADGRA1,3.590814189,3.930773613,4.542068109,2.97741221,1.716490593
ADGRA3,5.137268744,5.068037811,5.301851114,3.250661779,2.711325786
ADGRB1,5.824174384,6.288979238,6.788091675,3.838167567,2.803886323
ADGRB3,4.462320057,4.575970929,5.286188506,2.195526109,2.032963516
ADGRD1,1.816610384,2.336663275,2.476973051,1.518305923,1.264368737
ADGRD2,0.766478019,0.499499077,0.399840091,0.530392965,0.274319518
ADGRE1,1.954595686,2.198983096,1.224260773,1.880840132,2.419525241
ADGRE2,3.431391419,3.503384131,2.782696481,4.214917292,4.788092271
ADGRE3,0.76659796,0.653897193,0.652397354,1.654859899,2.40470607
ADGRE4P,2.812734731,2.89754031,2.93173274,2.987530417,3.544729906
ADGRE5,5.856257573,5.804103791,5.619170319,6.880656643,6.138464996
ADGRF1,0.026512924,0.02853173,0.029889029,0.010482695,0.782735739
ADGRF5,4.61018514,4.999203192,5.10130235,3.773876688,2.360866759
ADGRG1,8.954380458,9.099872999,9.192516096,7.027584807,7.146300001
ADGRG2,0.73574744,0.67840341,0.594723704,0.547991266,0.524625448
ADGRG3,1.622589764,1.597073915,1.377075026,4.923153338,3.509699028
ADGRG4,0.012533411,0.004832791,0.010166783,0.226854822,0.603616452
ADGRG5,1.344877897,1.353443404,1.519578974,1.666968851,2.120247328
ADGRG6,2.402255107,2.19108858,2.17523455,1.617740567,2.769516868
ADGRG7,0.236732526,0.260272002,0.309898022,0.063670828,0.243001745
ADGRL2,4.633251911,4.751292854,4.776179103,2.911850997,2.08465151
ADGRL3,5.804974974,5.766926914,5.924983613,3.172390464,2.899818355
ADGRL4,5.001879105,5.258316969,4.859882528,3.164023687,3.005193835
ADGRV1,3.693050915,3.889498551,4.541464187,1.485119301,1.849771804
ADH1B,0.822504756,0.960497635,1.698032831,0.467960244,1.517705116
ADH1C,0.202717479,0.153378356,0.197108389,0.242439521,0.024856302
ADH5,7.411012711,7.355701431,7.218800392,4.793552617,4.289689656
ADH7,0.195675107,0.160105618,0.122298872,0,0.126735871
ADHFE1,5.093616947,4.931112945,5.474807866,2.762593994,2.711070807
ADI1,6.176498125,6.195933175,6.39943032,5.004093253,4.049257553
ADIG,0.734142165,0.728822653,0.585494818,0.146010844,0.049040571
ADIPOR1,7.573919643,7.542577242,7.488202227,7.329907703,6.50178654
ADIPOR2,7.317215551,7.403114396,7.838876738,5.803773619,6.757720021
ADK,5.419769065,5.543751898,5.52363052,4.830970162,3.808790578
ADM,7.656998459,7.693186518,5.533464589,6.005068201,5.793618965
ADM2,1.315869328,1.476829762,0.401346901,0.452213398,0.990332492
ADM5,2.305638869,2.503393349,2.305785103,1.680794367,2.27032851
ADNP,6.990015072,6.874684506,6.935647015,4.31558147,3.648191042
ADNP2,5.03000149,4.884958558,4.938689955,2.959469578,3.594612453
ADORA1,6.17778082,6.642266445,7.041695917,3.993745207,3.868842929
ADORA2B,3.959814102,4.262534226,3.575183384,2.23251932,1.452253
ADPRH,4.225796752,4.272865282,3.97070334,2.775657354,3.201216466
ADPRHL1,2.558015174,2.699709632,3.291005601,1.026248586,1.017338063
ADPRM,4.428935793,4.35432014,4.207669921,2.739909379,2.786720513
ADPRS,6.892459047,6.893043442,6.761071136,4.678332201,5.10601197
ADRA1A,1.721395509,2.02367587,2.259419211,0.814434116,0.419873559
ADRA1B,2.35486035,3.047531252,3.195258979,1.986930699,1.99452223
ADRA1D,2.085629959,2.342878564,2.326744262,0.585628093,0.503937941
ADRB3,0.187589569,0.220031366,0.206525823,0.056010648,0.12914271
ADRM1,6.937473567,7.100350998,7.024167694,5.569402649,5.908392839
ADSL,6.445180747,6.387816681,6.168995654,4.882083641,4.166448702
ADSS1,4.818323737,4.772283098,4.499482324,3.783802961,3.619768009
ADSS2,6.291995462,6.237089435,6.401147592,4.318683333,4.405201354
ADTRP,0.630069744,0.999807812,0.97220969,0.506760157,1.569501112
AEBP2,5.095173392,5.028399096,4.891609509,3.845685803,3.562873181
AEN,5.141567299,5.248362862,4.930871224,4.453782655,5.038003525
AFAP1L1,4.492858611,4.549865931,3.791893892,2.641888455,1.583965665
AFAP1L2,4.844765849,5.203703625,5.286422349,3.686076099,2.418819095
AFDN,5.598489758,5.501605817,5.628194013,3.799733891,3.386608833
AFDN-DT,2.766115934,2.716336429,2.51063284,1.186022763,0.934295134
AFF1,5.158400865,5.088764085,5.094418536,3.357527761,3.904009339
AFF1-AS1,3.317014454,3.257406294,3.486741504,2.372378905,1.779761306
AFF2,0.002303196,0.002477871,0.025551988,0,0
AFF3,3.456200645,3.480355608,3.758172815,1.849271807,1.973023844
AFF4,6.673600171,6.53121955,6.42729907,4.89804918,4.945528382
AFG1L,3.396983483,3.361310826,3.359003452,1.663061315,1.322971161
AFM,0.015159834,0.01773712,0,0,0
AFMID,4.75436783,4.781000551,5.151737451,4.425529781,3.792544611
AFP,0.43616368,0.655169041,0.473807169,0.065627152,0.016283359
AGA,5.549414664,5.536107078,5.609962156,5.509960758,3.918071
AGAP1,5.841793896,5.900114787,6.419458004,4.034330061,4.144032061
AGAP3,6.55882892,6.543082093,6.857550746,4.961080016,5.395452086
AGAP4,0.096049067,0.051510534,0.011423381,0.100823828,0.004730607
AGBL2,2.175598306,1.95562313,1.769983227,0.395866322,1.029956711
AGFG2,5.542973405,5.74564248,5.670168416,3.596199783,2.403217473
AGGF1,6.059650168,6.023506358,6.07086832,3.613531515,3.612245187
AGK,3.527827689,3.412540211,3.403302847,1.61620314,1.56594226
AGL,4.619796602,4.481818239,4.803883521,2.819356964,1.781242726
AGMO,2.585564215,2.537573805,2.935608171,2.086903277,1.401601122
AGO1,5.245167954,5.071668925,5.30586415,3.361345679,3.571286577
AGO2,4.356592293,4.332031895,4.325099941,3.241754849,2.852934263
AGO3,3.861148961,3.748891869,3.825328992,2.773587197,2.231360608
AGO4,5.043021914,4.887452823,5.111881006,4.813108866,3.998015901
AGPAT2,5.349578672,5.343799007,4.935365156,4.472212133,4.466358668
AGPAT3,6.520687324,6.622554153,6.967520215,4.896242548,4.462508036
AGPS,5.360207722,5.377886397,5.453028657,3.346019364,3.353589516
AGR2,0.065929196,0.058153335,0.176256233,0.069461992,0.114096161
AGR3,0.624500282,0.611961807,0.777043398,0.259472791,0.484450728
AGRN,7.634926316,7.752832348,7.507323175,5.752694062,4.815434461
AGRP,1.124555733,1.158347612,1.374681691,0.392849139,1.364239372
AGT,9.052696053,9.410296272,9.713974695,5.935640724,4.537357887
AGTPBP1,5.214531042,5.219811238,5.735888001,3.648713888,4.858353891
AGTR1,0.791160539,0.710863944,0.668120671,0.237217747,0.311346964
AGTR2,0,0,0,0,0
AGTRAP,6.789235125,6.848465833,6.365029427,5.87348609,5.847439581
AGXT,0.812025387,0.918534313,0.171358509,0.078343169,0.043032491
AGXT2,0.019629927,0.009641794,0.010308829,0,0.15743827
AHCTF1,4.907788396,4.824711514,4.863512139,3.233194662,3.060191295
AHCY,6.867071294,6.846633396,6.878781053,5.859342283,6.711039867
AHCYL1,8.823588998,8.904219224,9.328679281,5.205053681,4.891770466
AHCYL2,6.507848022,6.540191335,7.075770783,3.735040656,3.585567765
AHDC1,5.512299416,5.606620069,5.889989132,3.11276688,2.92134931
AHI1,4.966752987,4.793748541,5.01509885,2.408412713,2.893959055
AHNAK,7.034030657,6.859859711,6.955952203,4.904354902,3.35160147
AHNAK2,3.317037097,3.424600236,2.764297273,1.714228485,2.546613758
AHR,5.517668816,5.559767366,4.569870658,3.883834911,4.449693071
AHSA1,7.803304347,7.825490957,7.977491162,6.5287267,6.831685382
AHSG,0.325138352,0.363108158,0.397659832,0.163410242,1.087876841
AHSP,0.320030751,0.328247922,0.283705794,2.174478097,0.966554535
AICDA,0.147206524,0.147050184,0.01843625,0.016503037,0.554802607
AIF1L,7.444553027,7.946009247,8.560134465,7.880197148,7.241096604
AIFM1,5.447900896,5.477890164,5.42781166,3.875980679,3.80799189
AIG1,5.532464988,5.635896639,5.788981371,4.173997644,4.870450584
AIM2,2.477970035,2.140584286,1.58902727,2.204596356,1.548643779
AIP,7.35047279,7.405464991,7.456153072,7.196216017,5.355559263
AIPL1,0.040443795,0.048418247,0.062553996,0.444597681,0.052246577
AIRE,1.846111477,2.380379866,1.649162592,0.336037193,0.431247334
AJAP1,2.3031918,2.649695344,3.395453433,1.768333715,2.49732096
AJUBA,3.487608096,3.412422151,2.942641282,1.390211504,0.742944303
AK2,6.573018454,6.465136204,6.171692946,4.996082005,5.753557348
AK3,6.820978181,6.822278983,6.820254593,4.538192819,3.214402919
AK4,5.962723811,5.833407011,5.448209828,2.519091024,1.85535984
AK5,3.547825475,4.124422093,6.006790464,4.433828225,4.404546169
AK7,1.175890914,1.345158058,1.780279062,0.343723765,1.659397028
AKAIN1,0.397560945,0.420636301,0.859147076,0.085126736,0.164291076
AKAP10,5.7241149,5.671452448,5.789633549,3.590908895,3.25247862
AKAP11,6.149652352,6.159591121,6.66515874,4.030385166,3.08410275
AKAP12,7.72532316,7.859927453,6.571951613,3.872850423,2.866628385
AKAP13,5.35218032,5.294783412,5.132541059,3.808822418,4.679689288
AKAP14,2.158830331,1.889873089,2.163180109,0.548129547,0.927093123
AKAP3,2.672474966,2.440105013,2.589155425,1.14245075,1.04216379
AKAP4,0,0,0,0,0
AKAP6,5.033337813,5.158775707,5.83428618,3.649489971,3.891440192
AKAP7,4.621781684,4.664023151,5.041015257,3.404024852,3.056790244
AKAP8,5.985092881,5.896491929,5.749905005,4.116908461,4.309819047
AKAP8L,7.181472178,7.143625097,7.067066787,6.008755974,6.22989727
AKAP9,5.058610173,4.881242213,5.02703454,3.112555796,3.26073347
AKIRIN1,7.517585491,7.494651394,7.779369715,6.055624784,6.340814706
AKIRIN2,7.426167294,7.430858264,7.345340265,5.404378994,4.854131166
AKNA,4.56995301,4.623799868,4.56597159,4.826791254,4.559018806
AKR1A1,7.251682807,7.246667454,7.068882355,6.312005508,7.138837427
AKR1B1,8.492484418,8.603145201,8.518250485,7.562034846,7.909074837
AKR1B10,1.0772043,1.124953877,0.487274298,0.718017825,0.04626833
AKR1B15,0.343224133,0.582455989,0.29297378,1.069775884,0
AKR1C4,0,0,0,0,0.008025528
AKR1C8P,0,0,0,0,0.006391687
AKR1D1,0.069052395,0.070241047,0.053141914,0.053142949,0.93766993
AKR1E2,1.130941253,1.292235721,1.391764474,0.698983852,0.436470926
AKR7A2,6.070832952,6.075513867,6.125998216,5.712388063,3.792048007
AKR7A3,2.787630567,2.838089513,3.099058474,1.648948214,1.409788246
AKR7L,2.16566625,1.983911895,2.204971736,0.780867562,0.487938075
AKT1,7.305419087,7.342498738,7.298439908,5.727464923,5.784015763
ALAD,6.917129567,6.997772097,7.424392448,5.564003507,4.449374673
ALAS1,5.581569254,5.764397439,5.893763023,4.26808627,4.464872016
ALAS2,0.747912297,0.606784527,0.59921897,1.995294652,1.083122968
ALB,1.654033137,1.678731854,1.679142028,1.526231551,1.536420388
ALCAM,7.048042435,7.026454721,7.248329501,5.593167824,6.392280252
ALDH16A1,5.452371823,5.553519405,5.399838679,4.624000763,5.472541288
ALDH18A1,6.183706001,6.28307712,5.923568291,3.967496177,2.881458993
ALDH1A1,5.125668839,5.463859956,6.47231099,3.240360493,3.942582954
ALDH1A3,2.704701832,3.36117027,2.731433723,1.794595529,1.39341844
ALDH1B1,5.085189737,5.163590747,4.954501457,3.328988814,4.194837153
ALDH1L2,3.426634138,3.492106771,3.207941345,1.816507376,2.738526772
ALDH2,8.315390126,8.542417066,9.043795213,6.871870087,5.506744046
ALDH3A1,1.22500182,1.333701161,0.958343095,0.386996463,0.758832049
ALDH3A2,7.02954306,7.045165263,6.989277381,5.496764895,5.113967365
ALDH3B1,4.126267549,4.149229301,3.476628661,3.778897131,4.69098094
ALDH3B2,0.025658407,0.040145348,0,0,0.799880336
ALDH5A1,5.881235588,6.034090622,6.58779303,3.141094679,2.762158639
