,Core,Rim,Inv,Neg,Pos
MYOF,5.496087962,5.431281713,4.354647746,2.836863959,2.891909239
MYOG,0.549064456,0.609268943,0.70967122,0.17136726,0.024579666
MYOM1,2.30524215,2.590144334,3.17342817,1.182826316,1.719106109
MYOM2,0.002996334,0.015142654,0.016466554,0.006174772,0
MYOM3,0.073632597,0.134430468,0.134259309,0.492010189,0.094671468
MYORG,4.402378016,4.588289375,5.507200006,2.577191935,2.081964721
MYOZ1,2.24483446,2.596578788,2.914338784,3.010541471,2.157222592
MYOZ2,0.880194411,1.303642539,0.979237274,1.305707043,0.726928255
MYOZ3,1.661024418,1.621490957,1.426333436,1.099681406,0.335763901
MYPN,0.039956604,0.145908458,0.169025982,0.782658028,0.657071548
MYPOP,4.787149784,4.846011736,5.215176183,3.351437789,2.399157243
MYSM1,4.700674841,4.524304016,4.711455793,2.951366495,4.053146646
MYT1,4.066337572,4.292715922,4.734639404,3.462790427,3.241790531
MZB1,1.39599626,1.653729691,0.79620479,1.946570717,0.620680985
MZT1,5.491678959,5.462824429,5.474034818,4.005405319,3.336722653
N4BP1,5.236871535,5.164800031,5.147543042,3.561690042,3.708777213
N4BP2L1,4.760601742,4.770295293,5.105909563,3.905733856,3.416921684
N4BP3,1.826399818,2.176698338,2.448496051,1.061525035,1.057149074
N6AMT1,4.345306306,4.419724785,4.543882017,4.068600332,2.4437992
NAA10,0.291076053,0.30285897,0.330460951,0.466406504,0.532691464
NAA11,0.127966351,0.259144249,0.302302709,0.031317245,0.009299419
NAA16,4.708081152,4.557480026,4.618077687,3.588787749,2.831180479
NAA20,7.345631883,7.417827758,7.443304089,6.903760933,5.751740031
NAA25,5.079995782,4.939691179,5.097708103,2.588445784,4.020291981
NAA30,5.149953387,5.146434202,5.48344134,2.965253222,2.74649091
NAA35,5.41565096,5.275639088,5.322072564,2.994934462,3.976920949
NAA40,5.71017115,5.619298524,5.760266111,3.966219299,3.496503684
NAA50,6.637347165,6.540024068,6.338199252,4.218801574,5.075428326
NAA60,6.519046526,6.579428797,6.583210604,5.53687275,4.190481791
NAAA,3.694500086,3.852977997,3.808160349,2.716205407,2.750727756
NAALAD2,3.006087439,2.801206666,3.236437409,1.159256389,1.120790205
NAB1,6.295629259,6.176630493,6.324390195,3.736592574,3.883950071
NABP1,4.171533886,4.344064331,3.453722495,3.842520743,4.593769878
NABP2,6.739485345,6.779091055,6.85252821,5.067494994,3.991155216
NACA,8.972700961,8.788048358,8.704031735,9.105262032,7.528237107
NACAD,6.229665451,6.539752295,6.901892248,5.65003212,5.311914789
NACC1,6.639395092,6.746572761,6.817666407,5.232248651,4.175446684
NACC2,7.160357242,7.249401485,7.81629918,5.11789264,4.665694468
NADK,6.222189271,6.064850605,6.010567163,5.897027077,3.495546323
NADK2,6.523566266,6.346508889,6.636266132,4.097280603,2.817081665
NADSYN1,5.590714347,5.614521944,5.473450245,5.218358314,4.045525274
NAE1,6.567334,6.457871275,6.531092848,4.630878312,4.17047566
NAF1,4.508185405,4.377241923,4.449170318,3.22148377,3.599656
NAGK,6.472685654,6.557010005,6.492201838,6.123980345,5.476942425
NAGLU,6.56805592,6.655230316,6.23033223,5.135953345,5.905359052
NAGS,2.803870509,2.952202887,2.604977238,1.624447283,1.829546172
NAIF1,3.990558566,3.988181154,3.815577279,2.531952579,2.584230447
NAMA,0.685604489,0.613615483,0.582337371,0.135646257,0.25229127
NAMPT,7.918406229,8.143613479,6.195666111,7.157255717,6.60814673
NANOG,0.068812448,0.072365309,0.050028272,0.187505771,0.010040053
NANOGNB,0,0,0,0,0
NANOS3,3.854501331,4.036187405,4.24798574,3.7617858,1.930142035
NANP,3.486595149,3.551619103,3.231913574,2.30572597,2.201040124
NAP1L1,8.465617103,8.304792383,8.396169518,7.011418538,7.241476771
