Samples,Neftel,Garofano,ALA_sig_UCell,GPM_UCell,MTC_UCell,NEU_UCell,PPR_UCell,MES2_UCell,MES1_UCell,AC_UCell,OPC_UCell,NPC1_UCell,NPC2_UCell,Injury_UCell,Developmental_UCell
MGH128CD45neg_P5_G04,MES1,GPM,0.162982804,0.086052288,0.19579085,0,0.035215686,0.323124183,0.534235294,0.577116667,0.257503268,0.137464052,0.169882353,0.281220324,0.257896728
MGH128CD45neg_P5_G10,MES1,GPM,0.120559524,0.053490196,0.130490196,0,0.029607843,0.229084967,0.37154902,0.636983333,0.251124183,0.131764706,0.106915033,0.277769163,0.26803681
MGH129CD45neg_P1_A02,MES1,MTC,0.116230159,0.022522876,0.23330719,0.021586667,0.031934641,0.115019608,0.152196078,0.461158333,0.161196078,0.098281046,0.091071895,0.266476566,0.244397751
MGH129CD45neg_P1_A04,MES1,GPM,0.096269841,0.042928105,0.116150327,0,0.054169935,0.07,0.071712418,0.316316667,0.264980392,0.250111111,0.061215686,0.266081034,0.251385481
MGH129CD45neg_P1_B12,MES1,MTC,0.121412698,0.046418301,0.233843137,0.020706667,0.017986928,0.064614379,0.122078431,0.357583333,0.223398693,0.206954248,0.112575163,0.264938239,0.247157464
MGH129CD45neg_P1_C09,MES1,MTC,0.119361111,0.04151634,0.236784314,0.027293333,0.027084967,0.205202614,0.311326797,0.47565,0.142928105,0.077202614,0.088771242,0.273436268,0.240527096
MGH129CD45neg_P1_D01,MES1,GPM,0.15392328,0.063869281,0.156091503,0,0.040130719,0.259803922,0.44827451,0.603925,0.17896732,0.103751634,0.108810458,0.284427508,0.257744888
MGH129CD45neg_P1_D06,MES1,GPM,0.152187831,0.038078431,0.151934641,0.021386667,0,0.281437908,0.439921569,0.403341667,0.137960784,0.087071895,0.076366013,0.285369251,0.254874233
MGH129CD45neg_P1_F02,MES1,GPM,0.129145503,0.033398693,0.182052288,0.018606667,0.035437908,0.152588235,0.206169935,0.325033333,0.137137255,0.116555556,0.049078431,0.275423565,0.258551636
MGH129CD45neg_P1_F11,MES1,GPM,0.147458995,0.082888889,0.074993464,0,0.029581699,0.241385621,0.32403268,0.381616667,0.176058824,0.070601307,0.062065359,0.291855015,0.244008691
