,Tumor_regions
X305461078,Perinecrotic_zone
X306124420,Perinecrotic_zone
X304357522,Perinecrotic_zone
X305272998,Perinecrotic_zone
X305273036,Perinecrotic_zone
X305273042,Perinecrotic_zone
X305461105,Perinecrotic_zone
X305952556,Perinecrotic_zone
X304950415,Perinecrotic_zone
X305461117,Perinecrotic_zone
X304477579,Perinecrotic_zone
X305461072,Perinecrotic_zone
X306124456,Perinecrotic_zone
X306124482,Perinecrotic_zone
X303748344,Perinecrotic_zone
X304357601,Perinecrotic_zone
X304703657,Perinecrotic_zone
X306124458,Perinecrotic_zone
X300173642,Pseudopalisading_cells
X300629317,Pseudopalisading_cells
X300629321,Pseudopalisading_cells
X300629346,Pseudopalisading_cells
X300629370,Pseudopalisading_cells
X300629360,Pseudopalisading_cells
X300629405,Pseudopalisading_cells
X300629426,Pseudopalisading_cells
X300629434,Pseudopalisading_cells
X302262292,Pseudopalisading_cells
X302262298,Pseudopalisading_cells
X301287611,Pseudopalisading_cells
X301287615,Pseudopalisading_cells
X301287634,Pseudopalisading_cells
X301626683,Pseudopalisading_cells
X301626687,Pseudopalisading_cells
X301626599,Pseudopalisading_cells
X301626607,Pseudopalisading_cells
X302264002,Pseudopalisading_cells
X304950288,Pseudopalisading_cells
X304950294,Pseudopalisading_cells
X304357557,Pseudopalisading_cells
X301287740,Pseudopalisading_cells
X301626595,Pseudopalisading_cells
X303748262,Pseudopalisading_cells
X304357514,Pseudopalisading_cells
X304357520,Pseudopalisading_cells
X306124412,Pseudopalisading_cells
X305272808,Pseudopalisading_cells
X305272996,Pseudopalisading_cells
X304950265,Pseudopalisading_cells
X304357593,Pseudopalisading_cells
X305461113,Pseudopalisading_cells
X303748332,Pseudopalisading_cells
X305272802,Pseudopalisading_cells
X304950376,Pseudopalisading_cells
X306124450,Pseudopalisading_cells
X303748254,Pseudopalisading_cells
X303748266,Pseudopalisading_cells
X305273038,Pseudopalisading_cells
